status,path,n_up,n_down,expected_Sz,n_particles,reason
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_134909_g6_n2_double_1_1_ctnn_s209,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_135232_g7_n2_double_1_1_unified_s211,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_140112_g7_n2_double_1_1_unified_s212,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_170100_validate_nonint_n2_double_1_1,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_170538_validate_nonint_n4_double_2_2,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_193715_smoke_improved,,,,,n_particles unknown from config.yaml
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_204447_impr_n2_ctnn_s301,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_204732_impr_n2_ctnn_s302,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_212815_impr_n2_unified_s303,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_213142_impr_n2_unified_s304,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260330_231223_impr_n4_unified_s306,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260331_004615_impr_n4_ctnn_s305,,,,,spin_configuration absent or incomplete
skipped,/itf-fi-ml/home/aleksns/Multi-Well-Quantum-Dots/results/_archive/2026-04-12_cleanup/timestamped_runs/20260331_083709_validate_nonint_n2_double_1_1,,,,,n_particles unknown from config.yaml
